zipcode clean,neighbourhood clean,city,state,zipcode,latitude,longitude,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped
90210,Beverly Hills,Beverly Hills,CA,90210,34.09696865,-118.4344573,Entire home/apt,"$3,000.00 ",,30,60,90,365,4/2/2017
90210,Beverly Hills,Beverly Hills,CA,90210,34.10215701,-118.4243442,Entire home/apt,$995.00 ,,29,59,89,273,4/2/2017
90210,Beverly Hills,Beverly Hills,CA,90210,34.12698297,-118.4349557,Entire home/apt,"$10,000.00 ",,15,15,15,15,4/2/2017
90210,Beverly Hills,Beverly Hills,CA,90210,34.11769492,-118.433402,Private room,$350.00 ,,28,58,88,363,4/2/2017
91607,Valley Village,Los Angeles,CA,91607,34.15554813,-118.394208,Private room,$60.00 ,,3,29,59,334,4/2/2017
91602,North Hollywood,Los Angeles,CA,91602,34.15679823,-118.382964,Entire home/apt,$120.00 ,,23,53,83,358,4/2/2017
91601,North Hollywood,Los Angeles,CA,91601,34.15688556,-118.3843679,Private room,$60.00 ,,0,0,0,145,4/2/2017
91607,Valley Village,Los Angeles,CA,91607,34.16638207,-118.4010704,Private room,$80.00 ,,30,60,90,365,4/2/2017
91607,Valley Village,Los Angeles,CA,91607,34.16999744,-118.4120355,Shared room,$25.00 ,,16,46,58,316,4/3/2017
91607,Valley Village,Valley Village,CA,91607,34.16052213,-118.3999481,Entire home/apt,$285.00 ,,0,0,30,195,4/2/2017
91607,Valley Village,Valley Village,CA,91607,34.16698026,-118.3937297,Entire home/apt,$75.00 ,,0,14,44,319,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.16119995,-118.4059991,Entire home/apt,$105.00 ,,0,0,0,0,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.16900113,-118.4096185,Shared room,$25.00 ,,9,39,69,158,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.17062444,-118.3948925,Entire home/apt,$165.00 ,,0,0,0,124,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.1707463,-118.3949263,Shared room,$77.00 ,,29,59,89,178,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.16029691,-118.4056195,Shared room,$48.00 ,,26,55,83,357,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.15701325,-118.3910233,Entire home/apt,$65.00 ,,10,31,58,272,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.16114618,-118.4088495,Private room,$55.00 ,,17,47,77,351,4/3/2017
91607,Valley Village,North Hollywood,CA,91607,34.15838118,-118.3969698,Entire home/apt,$73.00 ,,2,14,14,22,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.16552055,-118.4091944,Private room,$70.00 ,,15,40,68,157,4/3/2017
91607,Valley Village,Valley Village,CA,91607,34.16619428,-118.3920131,Private room,$60.00 ,,0,0,0,0,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.16935297,-118.4110321,Shared room,$25.00 ,,16,46,76,165,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.16327024,-118.3893064,Entire home/apt,$300.00 ,,30,60,90,365,4/3/2017
91602,North Hollywood,Los Angeles,CA,91602,34.15657917,-118.3836719,Entire home/apt,$90.00 ,,14,37,67,338,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.16741102,-118.3974681,Private room,$45.00 ,,3,31,47,123,4/3/2017
91601,North Hollywood,Los Angeles,CA,91601,34.15852116,-118.3867883,Entire home/apt,$100.00 ,,17,47,77,352,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.15897391,-118.4099106,Private room,$65.00 ,,0,0,0,0,4/3/2017
91607,Valley Village,Valley Village,CA,91607,34.1657088,-118.4013501,Private room,$65.00 ,,30,60,90,365,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.17060912,-118.4016127,Entire home/apt,$95.00 ,,15,31,54,309,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.17096044,-118.4133236,Entire home/apt,$130.00 ,,0,0,0,0,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.16494398,-118.4032749,Private room,$60.00 ,,0,0,0,0,4/3/2017
91601,North Hollywood,North Hollywood,CA,91601,34.15959825,-118.3870413,Entire home/apt,$90.00 ,,17,44,74,349,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.15529415,-118.3927815,Shared room,$92.00 ,,0,0,0,0,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.16475403,-118.400936,Private room,$54.00 ,,30,60,90,365,4/3/2017
91423,Sherman Oaks,Los Angeles,CA,91423,34.16400187,-118.4136835,Private room,$70.00 ,,15,15,15,199,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.16693728,-118.3933792,Private room,$40.00 ,,2,32,37,306,4/3/2017
91607,Valley Village,Los Angeles,CA,91607,34.15573924,-118.3936774,Private room,$60.00 ,,30,60,90,365,4/3/2017
