Category,Corcoran,Cuban,Lori,Robert,John,Kevin
Food,24.46808511,26.59574468,14.89361702,9.574468085,11.70212766,12.76595745
Fashion,16.48351648,21.97802198,16.48351648,15.38461538,24.17582418,5.494505495
Lifestyle,10.81081081,13.51351351,36.48648649,14.86486486,12.16216216,12.16216216
Education,12,22,24,16,14,12
Fitness,12.5,31.25,6.25,20.83333333,20.83333333,8.333333333
Tech,8.108108108,32.43243243,16.21621622,16.21621622,8.108108108,18.91891892
Healthcare,18.18181818,18.18181818,13.63636364,22.72727273,9.090909091,18.18181818
Pets,15.78947368,10.52631579,26.31578947,10.52631579,21.05263158,15.78947368
Entertainment,7.692307692,30.76923077,7.692307692,15.38461538,23.07692308,15.38461538
Other,3.846153846,26.92307692,7.692307692,26.92307692,11.53846154,23.07692308
